date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,season,is_weekend
2000-01-01 05:00:00+00:00,0.04,0.418,0.419,0.411,0.414,0.0,0.0,0.482,0.471,0.624,0.253,0.092,,,,,,Winter,1.0
2000-01-02 05:00:00+00:00,0.68,0.46,0.492,0.457,0.478,0.08,0.105,0.685,0.689,0.595,0.072,0.015,,,,,,Winter,1.0
2000-01-03 05:00:00+00:00,0.68,0.541,0.614,0.577,0.572,0.16,0.211,0.711,0.707,0.655,0.134,0.07,,,,,,Winter,0.0
2000-01-04 05:00:00+00:00,0.84,0.548,0.59,0.539,0.549,1.0,1.0,0.947,1.0,0.532,0.049,0.032,,,,,,Winter,0.0
2000-01-05 05:00:00+00:00,0.84,0.456,0.412,0.466,0.375,1.0,1.0,0.695,0.683,0.862,0.269,0.166,,,,,,Winter,0.0
2000-01-06 05:00:00+00:00,0.04,0.305,0.382,0.297,0.374,0.0,0.0,0.336,0.356,0.459,0.269,0.116,,,,,,Winter,0.0
2000-01-07 05:00:00+00:00,0.04,0.381,0.47,0.382,0.429,0.0,0.0,0.556,0.489,0.679,0.129,0.072,,,,,,Winter,0.0
2000-01-08 05:00:00+00:00,0.04,0.328,0.444,0.328,0.414,0.0,0.0,0.444,0.459,0.74,0.286,0.163,,,,,,Winter,1.0
2000-01-09 05:00:00+00:00,0.04,0.433,0.479,0.43,0.437,0.0,0.0,0.508,0.465,0.645,0.264,0.149,,,,,,Winter,1.0
2000-01-10 05:00:00+00:00,0.84,0.487,0.479,0.473,0.479,1.0,1.0,1.0,1.0,0.366,0.085,0.039,,,,,,Winter,0.0
2000-01-11 05:00:00+00:00,0.68,0.479,0.554,0.445,0.491,0.016,0.021,0.759,0.834,0.663,0.212,0.224,,,,,,Winter,0.0
2000-01-12 05:00:00+00:00,0.04,0.361,0.464,0.317,0.429,0.0,0.0,0.794,0.834,0.788,0.288,0.232,,,,,,Winter,0.0
2000-01-13 05:00:00+00:00,1.0,0.272,0.258,0.285,0.223,1.0,0.0,0.747,0.767,0.916,0.054,0.08,,,,,,Winter,0.0
2000-01-14 05:00:00+00:00,0.04,0.088,0.18,0.071,0.158,0.0,0.0,0.764,0.737,0.866,0.307,0.08,,,,,,Winter,0.0
2000-01-15 05:00:00+00:00,0.013,0.111,0.131,0.134,0.136,0.0,0.0,0.576,0.532,0.869,0.32,0.066,,,,,,Winter,1.0
2000-01-16 05:00:00+00:00,0.947,0.351,0.158,0.334,0.177,0.112,0.105,0.967,1.0,0.641,0.077,0.094,,,,,,Winter,1.0
2000-01-17 05:00:00+00:00,0.947,0.083,0.132,0.049,0.1,0.0,0.0,1.0,1.0,0.889,0.282,0.085,,,,,,Winter,0.0
2000-01-18 05:00:00+00:00,0.04,0.149,0.13,0.164,0.139,0.0,0.0,0.561,0.55,0.884,0.298,0.079,,,,,,Winter,0.0
2000-01-19 05:00:00+00:00,0.04,0.177,0.179,0.183,0.187,0.0,0.0,0.297,0.284,0.877,0.28,0.091,,,,,,Winter,0.0
2000-01-20 05:00:00+00:00,0.973,0.207,0.224,0.219,0.239,0.48,0.0,0.813,0.695,0.031,0.153,0.056,,,,,,Winter,0.0
2000-01-21 05:00:00+00:00,0.973,0.127,0.166,0.106,0.133,0.544,0.0,0.963,0.924,0.877,0.242,0.084,,,,,,Winter,0.0
2000-01-22 05:00:00+00:00,0.027,0.078,0.113,0.064,0.101,0.0,0.0,0.867,0.834,0.795,0.354,0.076,,,,,,Winter,1.0
2000-01-23 05:00:00+00:00,0.04,0.171,0.096,0.2,0.123,0.0,0.0,0.315,0.248,0.708,0.298,0.071,,,,,,Winter,1.0
2000-01-24 05:00:00+00:00,0.04,0.3,0.232,0.332,0.241,0.0,0.0,0.306,0.272,0.999,0.314,0.084,,,,,,Winter,0.0
2000-01-25 05:00:00+00:00,1.0,0.284,0.316,0.279,0.308,1.0,1.0,1.0,0.918,0.091,0.038,0.021,,,,,,Winter,0.0
2000-01-26 05:00:00+00:00,0.68,0.29,0.304,0.308,0.287,0.096,0.126,0.503,0.502,0.813,0.314,0.089,,,,,,Winter,0.0
